PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
ACEH,1,25748.00,346305.00,"28,69","1 507,20",77747.00,2004
SUMATERA UTARA,1,214885.00,502839.00,"29,24","3 140,20",712560.00,2004
SUMATERA BARAT,1,32546.00,231939.00,"29,06","4 927,20",118170.00,2004
RIAU,1,19285.00,125966.00,"28,98","2 949,20",42122.00,2004
JAMBI,1,8724.00,122126.00,"28,21","2 533,30",27540.00,2004
SUMATERA SELATAN,1,23859.00,474429.00,"28,73","2 674,00",65234.00,2004
BENGKULU,1,20049.00,85641.00,"29,71","3 030,40",50012.00,2004
LAMPUNG,1,364842.00,316017.00,"29,66","1 682,20",1216974.00,2004
KEP. BANGKA BELITUNG,1,1076.00,3773.00,"27,94","2 900,00",3199.00,2004
KEP. RIAU,1,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,1,29.00,2563.00,"30,22","1 644,30",55.00,2004
JAWA BARAT,1,119872.00,932337.00,"28,49","2 200,60",549442.00,2004
JAWA TENGAH,1,521645.00,996197.00,"29,48","2 473,60",1836233.00,2004
DI YOGYAKARTA,1,67645.00,56982.00,"29,42","1 834,30",211730.00,2004
JAWA TIMUR,1,1141671.00,1108361.00,"30,28","2 002,20",4133762.00,2004
BANTEN,1,8818.00,196589.00,"29,63","1 353,70",25102.00,2004
BALI,1,25782.00,81557.00,"29,4","2 089,60",68424.00,2004
NUSA TENGGARA BARAT,1,33140.00,222968.00,"30,09","1 876,20",71276.00,2004
NUSA TENGGARA TIMUR,1,264907.00,109070.00,"28,93","1 886,50",622811.00,2004
KALIMANTAN BARAT,1,35747.00,283021.00,"28,58","3 160,60",102555.00,2004
KALIMANTAN TENGAH,1,580.00,167776.00,"27,87","3 026,20",969.00,2004
KALIMANTAN SELATAN,1,15491.00,423884.00,"27,95","2 773,20",45686.00,2004
KALIMANTAN TIMUR,1,5466.00,89769.00,"29,43","2 293,40",12412.00,2004
KALIMANTAN UTARA,1,-,-,,,-,2004
SULAWESI UTARA,1,66196.00,59393.00,"28,56","3 470,50",150128.00,2004
SULAWESI TENGAH,1,22121.00,120049.00,"28,03","2 218,70",53450.00,2004
SULAWESI SELATAN,1,196393.00,626634.00,"28,05","3 053,90",674716.00,2004
SULAWESI TENGGARA,1,35151.00,69432.00,"28,36","2 125,10",78147.00,2004
GORONTALO,1,72529.00,25955.00,"29,29","1 816,30",251214.00,2004
SULAWESI BARAT,1,-,-,"29,46","1 870,60",-,2004
MALUKU,1,5413.00,8542.00,"29,13","2 358,60",12477.00,2004
MALUKU UTARA,1,3247.00,11867.00,"28,05","2 024,50",5056.00,2004
PAPUA BARAT,1,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,1,4057.00,36021.00,"28,44","2 431,00",6040.00,2004
ACEH,2,24325.00,346305.00,"28,69","1 507,20",31170.00,2004
SUMATERA UTARA,2,11706.00,502839.00,"29,24","3 140,20",12333.00,2004
SUMATERA BARAT,2,1178.00,231939.00,"29,06","4 927,20",1575.00,2004
RIAU,2,1781.00,125966.00,"28,98","2 949,20",1825.00,2004
JAMBI,2,1815.00,122126.00,"28,21","2 533,30",2532.00,2004
SUMATERA SELATAN,2,3539.00,474429.00,"28,73","2 674,00",4664.00,2004
BENGKULU,2,3309.00,85641.00,"29,71","3 030,40",3053.00,2004
LAMPUNG,2,5139.00,316017.00,"29,66","1 682,20",5388.00,2004
KEP. BANGKA BELITUNG,2,-,3773.00,"27,94","2 900,00",-,2004
KEP. RIAU,2,-,-,"28,09","3 972,70",-,2004
DKI JAKARTA,2,-,2563.00,"30,22","1 644,30",-,2004
JAWA BARAT,2,20997.00,932337.00,"28,49","2 200,60",29090.00,2004
JAWA TENGAH,2,79557.00,996197.00,"29,48","2 473,60",113852.00,2004
DI YOGYAKARTA,2,33552.00,56982.00,"29,42","1 834,30",35729.00,2004
JAWA TIMUR,2,246940.00,1108361.00,"30,28","2 002,20",318929.00,2004
BANTEN,2,3430.00,196589.00,"29,63","1 353,70",4601.00,2004
BALI,2,7958.00,81557.00,"29,4","2 089,60",11131.00,2004
NUSA TENGGARA BARAT,2,75658.00,222968.00,"30,09","1 876,20",91495.00,2004
NUSA TENGGARA TIMUR,2,2308.00,109070.00,"28,93","1 886,50",2368.00,2004
KALIMANTAN BARAT,2,1063.00,283021.00,"28,58","3 160,60",1231.00,2004
KALIMANTAN TENGAH,2,1070.00,167776.00,"27,87","3 026,20",1162.00,2004
KALIMANTAN SELATAN,2,4382.00,423884.00,"27,95","2 773,20",5423.00,2004
KALIMANTAN TIMUR,2,2074.00,89769.00,"29,43","2 293,40",2157.00,2004
KALIMANTAN UTARA,2,-,-,,,-,2004
SULAWESI UTARA,2,4186.00,59393.00,"28,56","3 470,50",5144.00,2004
SULAWESI TENGAH,2,1915.00,120049.00,"28,03","2 218,70",2085.00,2004
SULAWESI SELATAN,2,17986.00,626634.00,"28,05","3 053,90",26873.00,2004
SULAWESI TENGGARA,2,2868.00,69432.00,"28,36","2 125,10",2381.00,2004
GORONTALO,2,934.00,25955.00,"29,29","1 816,30",1283.00,2004
